Date,Open,High,Low,Close,__source_file
2013-01-01,79.62,79.85,79.58,79.77,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-02,79.76,79.93,79.28,79.85,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-03,79.81,80.54,79.8,80.38,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-04,80.55,80.87,80.41,80.5,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-07,80.51,80.68,80.18,80.26,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-08,80.14,80.45,80.11,80.35,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-09,80.37,80.64,80.29,80.56,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-10,80.65,80.67,79.67,79.74,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-11,79.8,79.86,79.44,79.56,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-14,79.54,79.65,79.35,79.49,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-15,79.51,79.87,79.39,79.78,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-16,79.7,79.9,79.61,79.8,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-17,79.82,79.9,79.57,79.65,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-18,79.69,80.19,79.65,80.04,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-21,80.06,80.09,79.91,80.04,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-22,80.05,80.09,79.69,79.87,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-23,79.88,80.13,79.7,79.92,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-24,79.97,80.15,79.86,79.95,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-25,79.99,80.09,79.68,79.75,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-28,79.8,79.93,79.72,79.78,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-29,79.77,79.86,79.52,79.56,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-30,79.58,79.62,79.18,79.28,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-01-31,79.26,79.37,79.13,79.21,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-02-01,79.1,79.3,78.92,79.13,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-02-04,79.19,79.61,79.18,79.55,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-02-05,79.59,79.79,79.45,79.49,Download Data - INDEX_US_IFUS_DXY_2013.csv
2013-02-06,79.53,79.86,79.49,79.72,Download Data - INDEX_US_IFUS_DXY_2013.csv
