Date,Open,High,Low,Close
01/01/2014,"80.00","80.22","79.97","80.04"
12/31/2013,"80.00","80.22","79.97","80.04"
12/30/2013,"80.33","80.43","79.93","80.00"
12/27/2013,"80.50","80.52","79.69","80.39"
12/26/2013,"80.58","80.62","80.45","80.48"
12/25/2013,"80.45","80.62","80.43","80.53"
12/24/2013,"80.45","80.62","80.43","80.53"
12/23/2013,"80.53","80.55","80.32","80.45"
12/20/2013,"80.75","80.83","80.39","80.58"
12/19/2013,"80.50","80.67","80.47","80.63"
12/18/2013,"80.05","80.58","79.81","80.11"
12/17/2013,"80.11","80.28","79.98","80.06"
12/16/2013,"80.22","80.22","79.92","80.07"
12/13/2013,"80.25","80.42","80.16","80.21"
12/12/2013,"79.91","80.25","79.85","80.21"
12/11/2013,"79.98","80.06","79.76","79.89"
12/10/2013,"80.14","80.18","79.84","79.97"
12/09/2013,"80.30","80.33","80.12","80.13"
12/06/2013,"80.31","80.61","80.22","80.32"
12/05/2013,"80.65","80.83","80.23","80.24"
12/04/2013,"80.66","80.91","80.54","80.62"
12/03/2013,"80.89","80.99","80.50","80.62"
12/02/2013,"80.66","80.96","80.50","80.93"
11/29/2013,"80.57","80.68","80.49","80.68"
11/28/2013,"80.73","80.75","80.54","80.58"
11/27/2013,"80.64","80.79","80.48","80.72"
11/26/2013,"80.83","80.90","80.60","80.61"
11/25/2013,"80.70","81.02","80.68","80.92"
11/22/2013,"81.01","81.09","80.64","80.71"
11/21/2013,"81.11","81.29","80.95","81.07"
11/20/2013,"80.58","81.13","80.53","81.11"
11/19/2013,"80.72","80.84","80.56","80.70"
11/18/2013,"80.89","80.92","80.57","80.83"
11/15/2013,"81.05","81.15","80.78","80.85"
11/14/2013,"80.77","81.21","80.74","81.02"
11/13/2013,"81.17","81.28","80.73","80.93"
11/12/2013,"81.12","81.46","81.02","81.19"
11/11/2013,"81.34","81.34","81.06","81.09"
11/08/2013,"80.90","81.48","80.78","81.30"
11/07/2013,"80.53","81.46","80.44","80.85"
11/06/2013,"80.68","80.72","80.38","80.48"
11/05/2013,"80.54","80.81","80.50","80.71"
11/04/2013,"80.70","80.93","80.53","80.55"
11/01/2013,"80.26","80.79","80.25","80.72"
10/31/2013,"79.77","80.27","79.68","80.20"
10/30/2013,"79.64","79.91","79.45","79.78"
10/29/2013,"79.32","79.67","79.29","79.61"
10/28/2013,"79.22","79.38","79.15","79.25"
10/25/2013,"79.20","79.32","79.00","79.19"
10/24/2013,"79.28","79.32","79.08","79.19"
10/23/2013,"79.27","79.39","79.14","79.26"
10/22/2013,"79.74","79.79","79.18","79.23"
10/21/2013,"79.65","79.82","79.64","79.70"
10/18/2013,"79.72","79.76","79.48","79.65"
10/17/2013,"80.54","80.56","79.61","79.65"
10/16/2013,"80.51","80.75","80.28","80.47"
10/15/2013,"80.36","80.70","80.25","80.48"
10/14/2013,"80.34","80.39","80.13","80.26"
10/11/2013,"80.48","80.54","80.24","80.36"
10/10/2013,"80.40","80.60","80.36","80.42"
10/09/2013,"79.88","80.57","79.88","80.38"
10/08/2013,"79.90","80.08","79.84","80.06"
10/07/2013,"80.05","80.14","79.90","79.94"
10/04/2013,"79.75","80.19","79.68","80.12"
10/03/2013,"79.86","79.92","79.63","79.75"
10/02/2013,"80.19","80.28","79.78","79.90"
10/01/2013,"80.26","80.32","79.86","80.14"
09/30/2013,"80.30","80.38","80.03","80.22"
09/27/2013,"80.53","80.59","80.11","80.27"
09/26/2013,"80.37","80.65","80.31","80.52"
09/25/2013,"80.59","80.63","80.29","80.33"
09/24/2013,"80.45","80.62","80.40","80.56"
09/23/2013,"80.39","80.53","80.29","80.45"
09/20/2013,"80.36","80.58","80.30","80.43"
09/19/2013,"80.19","80.45","80.07","80.37"
09/18/2013,"81.16","81.23","80.06","80.24"
09/17/2013,"81.27","81.35","81.11","81.14"
09/16/2013,"81.15","81.31","80.97","81.30"
09/13/2013,"81.53","81.74","81.40","81.45"
09/12/2013,"81.48","81.70","81.36","81.49"
09/11/2013,"81.81","81.94","81.45","81.52"
09/10/2013,"81.83","81.98","81.72","81.82"
09/09/2013,"82.29","82.31","81.70","81.79"
09/06/2013,"82.62","82.63","82.04","82.15"
09/05/2013,"82.20","82.67","82.10","82.63"
09/04/2013,"82.35","82.43","82.08","82.17"
09/03/2013,"82.30","82.52","82.23","82.36"
09/02/2013,"81.99","82.26","81.89","82.09"
08/30/2013,"81.99","82.26","81.89","82.09"
08/29/2013,"81.46","82.07","81.38","81.95"
08/28/2013,"81.13","81.60","81.11","81.43"
08/27/2013,"81.34","81.57","81.11","81.17"
08/26/2013,"81.35","81.51","81.27","81.41"
08/23/2013,"81.50","81.66","81.22","81.36"
08/22/2013,"81.43","81.72","81.38","81.49"
08/21/2013,"80.93","81.41","80.90","81.21"
08/20/2013,"81.27","81.34","80.75","80.91"
08/19/2013,"81.32","81.39","81.14","81.23"
08/16/2013,"81.13","81.40","81.05","81.26"
08/15/2013,"81.64","81.94","81.10","81.18"
08/14/2013,"81.74","81.85","81.61","81.71"
08/13/2013,"81.49","81.88","81.40","81.77"
08/12/2013,"81.11","81.51","81.10","81.33"
08/09/2013,"81.06","81.18","80.94","81.13"
08/08/2013,"81.27","81.36","80.87","80.98"
08/07/2013,"81.57","81.82","81.23","81.29"
08/06/2013,"81.86","81.96","81.51","81.60"
08/05/2013,"81.95","82.09","81.75","81.88"
08/02/2013,"82.34","82.49","81.82","81.91"
08/01/2013,"81.67","82.41","81.61","82.34"
07/31/2013,"81.82","82.19","81.41","81.45"
07/30/2013,"81.71","81.98","81.58","81.83"
07/29/2013,"81.58","81.83","81.50","81.66"
07/26/2013,"81.80","81.83","81.55","81.66"
07/25/2013,"82.34","82.40","81.62","81.97"
07/24/2013,"82.02","82.41","81.94","82.29"
07/23/2013,"82.17","82.38","81.93","81.95"
07/22/2013,"82.50","82.55","82.05","82.22"
07/19/2013,"82.80","82.94","82.52","82.61"
07/18/2013,"82.68","83.03","82.62","82.82"
07/17/2013,"82.56","82.89","82.34","82.71"
07/16/2013,"83.11","83.11","82.40","82.50"
07/15/2013,"82.96","83.46","82.88","83.04"
07/12/2013,"82.78","83.24","82.72","82.99"
07/11/2013,"82.71","83.25","82.42","82.75"
07/10/2013,"84.68","84.73","83.39","84.04"
07/09/2013,"84.33","84.75","84.09","84.58"
07/08/2013,"84.59","84.59","84.15","84.19"
07/05/2013,"83.88","84.53","83.83","84.45"
07/04/2013,"83.15","83.91","83.15","83.23"
07/03/2013,"83.59","83.72","83.09","83.23"
07/02/2013,"82.99","83.61","82.97","83.54"
07/01/2013,"83.23","83.23","82.97","83.05"
06/28/2013,"83.02","83.34","82.76","83.14"
06/27/2013,"82.85","83.17","82.77","82.90"
06/26/2013,"82.62","83.03","82.51","82.98"
06/25/2013,"82.37","82.72","82.24","82.58"
06/24/2013,"82.58","82.84","82.31","82.43"
06/21/2013,"81.72","82.52","81.60","82.32"
06/20/2013,"81.40","82.15","81.27","81.92"
06/19/2013,"80.71","81.50","80.50","81.43"
06/18/2013,"80.64","80.99","80.56","80.75"
06/17/2013,"80.59","80.88","80.53","80.79"
06/14/2013,"80.77","81.01","80.59","80.67"
